Project Code,HazardID,Reference,Hazard Number,Generic Hazard Title,Generic Hazard Type,Generic Hazard Originator,Event / Detail,Status,Hazard Owner,Hazard Editor,Hazard Manager,Endorsed,Endorsed By,Next Review Date,Next Review Occasion,Comments,Initial Assessment Date,Initial Assessment Occasion,Current Assessment Date,Current Assessment Occasion,Post Assessment Date,Post Assessment Occasion,Additional,Alarp,ALARP Comments,DateModified,Risk Assessment 1 Consequence,Risk Assessment 1 Risk Assessment Type,Risk Assessment 1 Initial Severity,Risk Assessment 1 Initial Probability,Risk Assessment 1 Initial Risk Level,Risk Assessment 1 Current Severity,Risk Assessment 1 Current Probability,Risk Assessment 1 Current Risk Level,Risk Assessment 1 Post Severity,Risk Assessment 1 Post Probability,Risk Assessment 1 Post Risk Level,Risk Assessment 1 Comments,Risk Assessment 1 DateModified,Risk Assessment 2 Consequence,Risk Assessment 2 Risk Assessment Type,Risk Assessment 2 Initial Severity,Risk Assessment 2 Initial Probability,Risk Assessment 2 Initial Risk Level,Risk Assessment 2 Current Severity,Risk Assessment 2 Current Probability,Risk Assessment 2 Current Risk Level,Risk Assessment 2 Post Severity,Risk Assessment 2 Post Probability,Risk Assessment 2 Post Risk Level,Risk Assessment 2 Comments,Risk Assessment 2 DateModified,Risk Assessment 3 Consequence,Risk Assessment 3 Risk Assessment Type,Risk Assessment 3 Initial Severity,Risk Assessment 3 Initial Probability,Risk Assessment 3 Initial Risk Level,Risk Assessment 3 Current Severity,Risk Assessment 3 Current Probability,Risk Assessment 3 Current Risk Level,Risk Assessment 3 Post Severity,Risk Assessment 3 Post Probability,Risk Assessment 3 Post Risk Level,Risk Assessment 3 Comments,Risk Assessment 3 DateModified
B412 WASBU,39,3,15,Fuel gauge fluctuations,Airborne Event,,"Standard fuel tank has erratic contents gauge indications.  Can cause pilot to question if sufficient fuel is in the tank, if he has a fuel leak or if he has a fuel burn.  Forcing him to consider RTB.",Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Pre-Issue Review,,08/05/2008,Risk Review Meeting,16/07/2008,Hazard Log Generation,Wed Jul 16 00:00:00 UTC+0100 2008,(none),Yes,No,,Wed Jul 16 16:07:48 UTC+0100 2008,Suspect fuel leak - return to base,Helicopter,Negl,,D,Negl,,D,N/A,,N/A,,Wed Jul 16 16:09:36 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,40,3,16,Passenger direct access to pilot,Airborne Event,,Variants of helicopter had forward facing seats directly behind the pilot which has led to deliberate/inadvertent passenger interference with pilots and aircrafts flight controls is a regular occurrence and distracts pilots from their primary function which could result in total loss of control of aircraft.,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Pre-Issue Review,,08/05/2008,Risk Review Meeting,16/07/2008,Hazard Log Generation,Wed Jul 16 00:00:00 UTC+0100 2008,(none),Yes,No,,Wed Jul 16 16:13:56 UTC+0100 2008,Potential loss of aircraft control,Helicopter,Cata,,C,Cata,,C,N/A,,N/A,"16/07/2008: Worst case assessment - loss of aircraft control which may be unrecoverable
",Wed Jul 16 16:16:39 UTC+0100 2008,Distraction of pilot,Helicopter,Negl,,C,Negl,,C,N/A,,N/A,"16/07/2008: Most credible - distraction of pilot with argument between passenger and crew.
",Wed Jul 16 16:17:46 UTC+0100 2008,,,,,,,,,,,,,
B412 WASBU,41,3,17, Equipment Malfunction due to Water Ingress,Water Ingress,Richard Nesbitt,Water ingress into sensitive equipment bays such as radome and avionics can cause equipment damage.,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Pre-Issue Review,,08/05/2008,Risk Review Meeting,16/07/2008,Hazard Log Generation,Wed Jul 16 00:00:00 UTC+0100 2008,(none),Yes,No,,Wed Jul 16 16:23:11 UTC+0100 2008,Equipment Malfunction due to Water Ingress,Helicopter,Mar,,C,Mar,,C,N/A,,N/A,,Wed Jul 16 16:29:53 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,43,3,18,Cyclic Control Restriction,Airborne Event,,Loss of movement forward from incorrect rigging of controls.,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,31/07/2008,Pre-Issue Review,,08/05/2008,Risk Review Meeting,17/07/2008,Hazard Log Generation,Thu Jul 17 00:00:00 UTC+0100 2008,(none),Yes,No,,Thu Jul 17 10:49:47 UTC+0100 2008,Possible tail strike,Helicopter,Maj,,D,Maj,,D,N/A,,N/A,,Thu Jul 17 10:57:37 UTC+0100 2008,,,,,,,,,,,,,,,,,,,,,,,,,,
B412 WASBU,44,3,19,Loss of forward cyclic authority,Airborne Event,,Loss of authority due to excessive loading on tail boom.,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,31/07/2008,Pre-Issue Review,,08/05/2008,Risk Review Meeting,17/07/2008,Hazard Log Generation,Thu Jul 17 00:00:00 UTC+0100 2008,(none),Yes,No,,Thu Jul 17 11:00:18 UTC+0100 2008,Longitudinal C of G moves beyond flight manual limits,Helicopter,Maj,,C,Maj,,C,N/A,,N/A,,Thu Jul 17 11:02:16 UTC+0100 2008
B412 WASBU,45,3,20,Manual deployment of liferafts,Airborne Event,,In emergency liferafts are deployed manually by the passengers through the escape hatch (door/window).  Liferafts are large and heavy and difficult to manoeuvre in confined space.,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,31/07/2008,Pre-Issue Review,,08/05/2008,Risk Review Meeting,17/07/2008,Hazard Log Generation,Thu Jul 17 00:00:00 UTC+0100 2008,(none),Yes,No,,Thu Jul 17 11:05:23 UTC+0100 2008,In event of emergency survival equipment may not be deployed,Helicopter,Crit,,C,Crit,,C,N/A,,N/A,"17/07/2008: This is a passenger survivability issue and requires the aircraft to have ditched.
",Thu Jul 17 11:07:43 UTC+0100 2008
B412 WASBU,46,3,21,Aircraft has high C of G,Airborne Event,,In the event of ditching the aircraft would not remain up right and would roll.  Situation is exacerbated by lack of sea state declaration on aircraft float system.  Except for EP series which have a sea state 4 limitation.,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,31/07/2008,Pre-Issue Review,,08/05/2008,Risk Review Meeting,17/07/2008,Hazard Log Generation,Thu Jul 17 00:00:00 UTC+0100 2008,(none),Yes,No,,Thu Jul 17 11:11:22 UTC+0100 2008,In the event of ditching the aircraft will not remain upright,Helicopter,Cata,,B,Cata,,B,N/A,,N/A,"17/07/2008: survivability issue only.  Should be considered as an escalation factor in the event of an emergency landing on water.
",Thu Jul 17 11:13:22 UTC+0100 2008
B412 WASBU,14,4,1,Contact with Hot Surfaces,Hot Surface,,If the pitot heaters have been left on they are at such a height that it would be possible for people to make contact with as they go past.  The combustion chambers also pose a potential burn situation while the Engineer is making engine adjustments.  ,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,30/09/2008,Risk Review Meeting,,26/03/2008,Type Risk Assessment Meeting,28/03/2008,Hazard Log Generation,Fri Mar 28 00:00:00 UTC 2008,(none),Yes,No,,Thu Jul 17 09:28:41 UTC+0100 2008,Injury to personnel following burn or scald,Personnel,Mar,,C,Mar,,C,N/A,,N/A,,Thu Jul 17 09:29:31 UTC+0100 2008
B412 WASBU,29,4,2,Human Error - Incorrect Action,Maintenance Error,,"According to the law of Murphy, if things can go wrong then at some point they will.  An example experienced on the 412 is the throttle being incorrectly assembled.  The wires can be cross connected and reverse logic can apply and the open and closed buttons can be reversed and therefore enable the pilot to perform the opposite of what he/she intends.",Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,31/10/2008,Risk Review Meeting,,26/03/2008,Type Risk Assessment Meeting,31/03/2008,Hazard Log Generation,Mon Mar 31 00:00:00 UTC+0100 2008,(none),Yes,No,,Thu Jul 17 09:17:35 UTC+0100 2008,Damage to engine,Helicopter,Maj,,D,Maj,,D,N/A,,N/A,,Mon Mar 31 14:06:02 UTC+0100 2008
B412 WASBU,30,4,3,Component Substitution,Maintenance Error,,The Manufacturer has a tendency to introduce new part numbers for specific AC serial numbers and this can lead to the wrong standard of component being fitted.  The Rotor Brake Quills and the Hydraulic Quills have been found to be mistaken as they both fit to specific area if use force however damage is likely.  FCU's have also been mistaken and have been fitted to the wrong variant. ,Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,31/10/2008,Risk Review Meeting,,26/03/2008,Type Risk Assessment Meeting,31/03/2008,Hazard Log Generation,Mon Mar 31 00:00:00 UTC+0100 2008,(none),Yes,No,,Thu Jul 17 09:36:32 UTC+0100 2008,Component Failure,Helicopter,Mar,,C,Mar,,C,N/A,,N/A,,Mon Mar 31 14:10:44 UTC+0100 2008
B412 WASBU,42,4,4,Working under aircraft,Ground Event,,"On the 412 there is an area known as the """"hell hole"""" underneath the aircraft that the Engineers have to work in everyday as part of their daily inspections on the hydraulics system.  A crane is required to lift the aircraft in order for the Engineer to gain access to this area.  The Engineer is completely inside the """"hole"""" with only their feet outside the a/c.  The EP variant has different skid gears which have been reinforced but cracks have still been found around the arch portion.",Open,Q&S EHBU,Claire Reid,Q&S Manager EHBU,0,,31/07/2008,Pre-Issue Review,,08/05/2008,Risk Review Meeting,17/07/2008,Hazard Log Generation,Thu Jul 17 00:00:00 UTC+0100 2008,(none),Yes,No,,Thu Jul 17 11:15:09 UTC+0100 2008,Injury to personnel - skid failure,Personnel,Maj,,D,Maj,,D,N/A,,N/A,,Thu Jul 17 09:16:59 UTC+0100 2008
